date,description,language,text,title
2020-08-31,What you can learn from a CEO who started a company after losing his job during the 2008 financial crisis.,en,"August
31, 2020
7 min read
Opinions expressed by Entrepreneur contributors are their own.
For many years, I had the privilege of interviewing tech founders and CEOs on stage before an audience of… [+7095 chars]",12 Leadership Lessons with NerdWallet CEO Tim Chen
2020-08-25,"Rachel Kyte, the dean of the Fletcher School at Tufts University, shows what a climate-focused recovery might look like and why the time to get started is right now.",en,"You cant isolate yourself from a pandemic and you cant isolate yourself from climate change. So we do have to find mechanisms.
In 2008, I worked in the international financial system, and in the sta… [+2155 chars]",The Pandemic’s Economic Crisis Calls for a Green Recovery
2020-08-28,"It’s been a week bookended with bad financial news for the oil and gas industry. It began with Exxon getting the boot from the Dow Jones Industrial Average, and now comes news that energy companies are the tiniest piece of another venerable stock index, the S…",en,"Its been a week bookended with bad financial news for the oil and gas industry. It began with Exxon getting the boot from the Dow Jones Industrial Average, and now comes news that energy companies ar… [+3900 chars]",Maybe It's Time to Retire the Phrase 'Big Oil'
2020-08-12,"<ul>
<li>Billionaire investor Carl Icahn made $1.3 billion from his bet against shopping malls in the first half of the year. </li>
<li>A filing said the bet was a result of ""positive performance of their short exposure to commercial mortgage-backed securitie…",en,"Brendan McDermid/Reuters
Billionaire investor Carl Icahn made $1.3 billion from betting against shopping malls in the first half of the year, using an instrument that many still associate with the 2… [+2685 chars]",Carl Icahn netted $1.3 billion from betting against brick-and-mortar shopping malls with an instrument that gained fame in the 2008 crisis
2020-08-15,"As the pandemic wreaks havoc on public transit systems across the country, experts say it is low-income residents, people of color and essential workers bearing the brunt.",en,"New Orleans, like most American cities, has seen its transit budget drastically affected during the pandemic. Public transit leaders across the country have issued dire warnings to Congress, saying t… [+1478 chars]",Public Transit Cuts Felt Deepest in Low-Income Areas
2020-08-19,"COVID-19 caught us all off guard. While many businesses worldwide struggle to make ends meet, the pandemic hit the travel and hospitality industry particularly hard. Airlines are laying off thousands of staff members. COVID-infected cruise ships are blocked a…",en,"COVID-19 caught us all off guard. While many businesses worldwide struggle to make ends meet, the pandemic hit the travel and hospitality industry particularly hard. 
Airlines are laying off thousan… [+4921 chars]",Center-out management: The new leadership style in the aftermath of COVID-19
2020-08-12,ONS confirms recession as GDP falls 20.4% as Covid-19 fuels biggest quarterly decline in growth since 1955<ul><li>UK falls into recession – live business updates</li><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Britain’s …,en,"Britains economy has been officially confirmed in recession for the first time since the 2008 financial crisis as the coronavirus pandemic plunges the country into the deepest slump on record.
The O… [+1141 chars]",UK economy plunges into deepest slump since records began
2020-09-07,"Ireland's gross domestic product fell by 6.1% quarter-on-quarter from April to June, as the large multinational sector sheltered the national accounts from the worst of the COVID-19 crisis and brought about a shallower recession than most of the euro zone.",en,"By Reuters Staff
Statues depicting the Irish famine are seen in the Irish Financial Services Centre in Dublin, Ireland April 24, 2017. REUTERS/Clodagh Kilcoyne
DUBLIN (Reuters) - Irelands gross dom… [+1836 chars]",Ireland enters shallower recession than most thanks to multinationals - Reuters India
2020-08-11,"Ms. Harris sometimes struggled to clearly define her stances during her unsuccessful presidential campaign. But in recent months, she has emerged as a leading voice on racial justice and inequality.",en,"Ms. Harris later put out her own health care plan, which placed her somewhere on the ideological spectrum between Mr. Biden and Mr. Sanders. Her plan sought to provide Medicare for all Americans, but… [+1683 chars]","Kamala Harris on the Issues: Race, Policing, Health Care and Education"
2020-08-17,"Even before the pandemic, America’s colleges and universities were in crisis. Over the last 20 years, tuition costs have soared, student debt has ballooned, state funding has declined, and the longstanding public support enjoyed by higher education has eroded…",en,"MIAMI (Reuters) - Even before the pandemic, America’s colleges and universities were in crisis. Over the last 20 years, tuition costs have soared, student debt has ballooned, state funding has declin… [+6102 chars]",Breakingviews - Guest view: U.S. universities need some self-study - Reuters
2020-09-03,"France unveils a 100bn-euro plan to kick-start the economy, with a promise to invest in green energy.",en,"Image copyrightGetty ImagesImage caption
 Prime Minister Jean Castex, flanked by education minister Jean-Michel Blanquer (L) and economy minister Bruno Le Maire (R)
France has unveiled a 100bn-euro… [+2232 chars]",France in huge coronavirus recovery plan focusing on green energy
2020-08-12,Global banks were left shell-shocked this year by a series of commodity trader collapses after instances of fraud were laid bare by the coronavirus crisis.,en,"LONDON (Reuters) - Global banks were left shell-shocked this year by a series of commodity trader collapses after instances of fraud were laid bare by the coronavirus crisis. 
ABN Amro (ABNd.AS) on … [+2424 chars]",Explainer: How commodity trade finance works - Reuters
2020-08-12,Global banks were left shell-shocked this year by a series of commodity trader collapses after instances of fraud were laid bare by the coronavirus crisis.,en,"LONDON (Reuters) - Global banks were left shell-shocked this year by a series of commodity trader collapses after instances of fraud were laid bare by the coronavirus crisis. 
ABN Amro (ABNd.AS) on … [+2424 chars]",Explainer: How commodity trade finance works - Reuters India
2020-08-18,"<ul>
<li>A new paper from Federal Reserve researchers finds that the concentration of market power in a select few firms exacerbated economic inequality and increased financial instability.</li>
<li>The team pointed to the income share for the top 5% of house…",en,"The growth of some companies to near-monopoly status exacerbated several plights in the US economy, Federal Reserve researchers found in a recent study. 
Rising market power in a select few firms fu… [+1947 chars]","Monopolies drive income inequality, financial instability, and debt growth, Fed economists say"
2020-09-03,"Spanish lenders Bankia and Caixabank are considering a merger to create the biggest bank in Spain with more than 650 billion euros ($770.25 billion) in total assets, the banks said on Thursday confirming an earlier Reuters story.",en,"(Adds details)
MADRID, Sept 3 (Reuters) - Spanish lenders Bankia and Caixabank are considering a merger to create the biggest bank in Spain with more than 650 billion euros ($770.25 billion) in tota… [+1059 chars]",UPDATE 1-Caixabank and Bankia consider merger to create Spain's biggest lender - Reuters India
2020-09-04,"Spain's Caixabank <CABK.MC> and Bankia <BKIA.MC> could close their merger deal to create the biggest lender in Spain with more than 650 billion euros ($770 billion) in assets within the next few days, two sources with knowledge of the matter said.",en,MADRID (Reuters) - Spain's Caixabank CABK.MC and Bankia BKIA.MC could close their merger deal to create the biggest lender in Spain with more than 650 billion euros ($770 billion) in assets within th… [+1247 chars],"Spanish lenders Caixabank, Bankia could close merger deal within days, sources say - Reuters UK"
2020-08-21,"Joseph R. Biden Jr. never wavered from his central message: that President Trump was a danger to American democracy, while he was a stable, experienced leader. Now it will be tested in a fierce battle with the president.",en,"In the primary, Mr. Biden declined to join his competitors who called for decriminalizing the border and eliminating private health insurance, not wanting to give away his partys advantage on two iss… [+2139 chars]",Gaffes? Sure. But Biden’s Message Discipline Won Him the Nomination.
2020-09-07,Spain's Prime Minister Pedro Sanchez on Monday said there were positive aspects in the proposed merger of Spanish lenders Caixabank and state-owned Bankia and called on the sector to take steps to consolidate further.,en,MADRID (Reuters) - Spain’s Prime Minister Pedro Sanchez on Monday said there were positive aspects in the proposed merger of Spanish lenders Caixabank (CABK.MC) and state-owned Bankia (BKIA.MC) and c… [+1924 chars],Spain's PM Sanchez sees positive aspects in Bankia-Caixabank merger - Reuters
2020-08-21,"Japan's factory activity extended its fall in August for a 16th month, casting doubt over manufacturers' hopes for a rapid recovery as they struggled with the coronavirus-induced global economic downturn.",en,"TOKYO, Aug 21 (Reuters) - Japan’s factory activity extended its fall in August for a 16th month, casting doubt over manufacturers’ hopes for a rapid recovery as they struggled with the coronavirus-in… [+1632 chars]",Japan's recovery hopes hit by Aug factory activity contraction - PMI - Reuters
2020-08-25,"A contentious new fee on U.S. mortgage refinancings has been delayed until Dec. 1, according to the regulator overseeing mortgage giants Fannie Mae and Freddie Mac.",en,"WASHINGTON (Reuters) - A contentious new fee on U.S. mortgage refinancings has been delayed until Dec. 1, according to the regulator overseeing mortgage giants Fannie Mae and Freddie Mac. 
The 0.5% … [+1298 chars]",U.S. housing regulator postpones new mortgage refinancing fee - Reuters
2020-08-18,ENQUÊTE - L’impact du Covid-19 sur le marché est bien plus fort que la crise financière de 2008.,fr,"Un millésime unique. 2020 sannonce lannée de tous les records en Champagne. Pour le meilleur, mais surtout pour le pire. Les vendanges ont débuté lundi 17 août dans plusieurs communes de lAube: cest … [+903 chars]",Le champagne affronte une crise historique
2020-09-05,"Premier commissaire aux investissements d'avenir mis en place en 2012 dans le prolongement de la crise de 2008, René Ricol juge le plan de relance à 100 milliards du gouvernement. Il estime que le souci du temps long et la constance sont indispensables à son …",fr,"Aujourdhui à la tête du cabinet dexpertise financière Ricol-Lasteyrie, René Ricol a occupé différents postes clés lors de la dernière grande crise de 2009. Dabord nommé médiateur du crédit par Nicola… [+6330 chars]",«On ne peut pas espérer tirer parti de ce plan pour la prochaine présidentielle»
2020-08-25,"La Slovénie, d'ordinaire beaucoup plus calme, se mobilise contre la casse programmée de son modèle social. Une « révolte citoyenne » qui se diffuse dans les rues comme sur la Toile... / Balkans, Banque, Développement, Mouvement de contestation, Nationalisme, …",fr,"Des dizaines de milliers de personnes qui battent le pavé de Ljubljana et de toutes les villes du pays : jamais la République de Slovénie (deux millions dhabitants), réputée pour son calme, sa modéra… [+11607 chars]","En Slovénie, la stratégie du choc"
2020-08-13,Mark Carney aiderait Justin Trudeau à préparer son plan de relance.,fr,"Six mois après le début de la pandémie de coronavirus au Canada, le premier ministre, Justin Trudeau, a trouvé un joker pour relancer une économie fortement impactée: Mark Carney. Lancien gouverneur … [+902 chars]",L’ex-gouverneur de la Banque d’Angleterre au secours du Canada
2020-09-02,"Canberra doit faire face à des tensions grandissantes avec la Chine, son principal partenaire commercial.",fr,"Cest une première pour lîle-continent qui navait jamais interrompu sa croissance depuis 1992, même lors de la crise financière de 2008. LAustralie est entrée en récession. Après un recul de 0,3 % au … [+895 chars]",L’Australie victime à son tour de la récession face à la pandémie
2020-09-02,CONTRE-POINT - L’ampleur du choc a rendu leurs lettres de noblesse au principe de l’intervention de l’État et à celui de la souveraineté économique.,fr,"Cest linconvénient des grosses sommes: les chiffres claquent mais on a du mal à imaginer ce quils représentent concrètement. Cent milliards deuros, ce nest pourtant pas rien! Cest trois fois le monta… [+887 chars]","Guillaume Tabard: «Sous les 100 milliards du plan de relance, l’enjeu de la crédibilité»"
2020-08-07,"Pour la première fois depuis la création de l’indice, le résultat cumulé net des fleurons français a été négatif au premier semestre.",fr,"Ils ne sont pas tous dans le rouge, mais tous (ou presque) sont touchés par un recul de leur activité ou de leurs profits, souvent les deux à la fois. Les géants du CAC 40 sont malades du Covid-19. L… [+906 chars]","Malades du Covid-19, les géants du CAC 40 multiplient les traitements"
